sequence,hash,date,type,release,capabilities,subject_capabilities,references,files,insertions,deletions,subject
712,b0b935ebc2ab9323740c8e4bec6acb520c49e648,2026-03-30T23:08:35Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.30.15 [skip ci]
713,146719a863dcedfa969cc338f84acd965ee6a656,2026-03-30T23:40:52Z,fix,no,terminal;ui_ux,terminal,,1,8,2,fix: prevent browser Ctrl+L/D when terminal has focus
714,aee9e316020f2d82485973368092085eb713b5dd,2026-03-30T23:41:01Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.30.16 [skip ci]
715,7f59eb3f0791b3502933f87ad1160a043737b955,2026-03-30T23:45:55Z,feat,no,tasks;workers;ui_ux,ui_ux,,2,1318,0,feat: add OpenAPI 3.0 spec and Swagger UI for API documentation
716,228a674368e8f7969fb7709dd6c352c95ab0c291,2026-03-30T23:46:05Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.30.17 [skip ci]
717,0ee73664c72d9060bf99f7ae466e487c0d6eeae2,2026-03-31T00:19:34Z,fix,no,mobile_pwa;ui_ux,mobile_pwa;ui_ux,,1,38,15,"fix: UX audit — improve mobile layout, contrast, and visual polish"
718,c7abef79ca15eb3c976e1cf1448dd23e9fdd8735,2026-03-31T00:19:41Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31 [skip ci]
719,4242b64aeac4af97f65eba6b7cef2bbdac051cc8,2026-03-31T00:30:29Z,fix,no,workers;security_auth;providers,workers,,1,2,2,fix: balance worker search input padding and alignment
720,8ede5db47d64d2148ab29b5aa522098def757242,2026-03-31T00:30:38Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.2 [skip ci]
721,8e30af061705da9eff5048d5fd6fc58a1e891270,2026-03-31T00:47:39Z,fix,no,workers;ui_ux,workers;ui_ux,,1,2,2,fix: worker search input fills full panel width with flex layout
722,9fa731e53b2c234e73f9052155a2e5229e7fdd7f,2026-03-31T00:47:46Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.3 [skip ci]
723,4bd27edea44db44f137327731c41461a4111ad83,2026-03-31T01:01:25Z,fix,no,tasks;workers;ui_ux,tasks;workers,,1,1,1,fix: remove task-search class from worker search input
724,f51e99a5eb317a6304bed34641b62d426e8614c5,2026-03-31T01:01:34Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.4 [skip ci]
725,8ff4fbd1c03a2c11a61dba1690abf1a130016c59,2026-03-31T13:52:46Z,fix,no,mobile_pwa;settings;ui_ux,mobile_pwa;settings;ui_ux,,1,7,4,"fix: UX audit round 2 — mobile layout, config wrapping, notifications"
726,ebcd6f8b37b9d2456886822c62df76e73109fc8c,2026-03-31T13:52:56Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.5 [skip ci]
727,9c90ff4f59e802df23ed2389b41c76fe6397ad65,2026-03-31T13:54:59Z,fix,no,ui_ux,,,1,1,4,fix: remove noisy toast on custom button press
728,1066a9e2b154778a486d91073dacc637283c7e02,2026-03-31T13:55:15Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.6 [skip ci]
729,da587cdaf340470e0247d0957dfdfba54a194ba9,2026-03-31T21:46:01Z,feat,no,tasks;resources;settings;ui_ux;testing_quality,resources;testing_quality,,6,187,2,"feat: Tier 1 quick wins — API docs link, event validation, filter sync, pipeline schedule, criteria expand, WS docs, memory tests"
730,0a6d884a60c457659cb526abc86536a75f205153,2026-03-31T21:46:11Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.7 [skip ci]
731,b2393880e87c5b1c2947565e0a5a736d82a3bafd,2026-03-31T21:51:11Z,feat,no,terminal;workers,,,1,492,0,feat: complete OpenAPI spec — add 29 missing endpoints and expand schemas
732,330d4106e9c78346eefbee8a1bee7f059a4c593d,2026-03-31T21:51:18Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.8 [skip ci]
733,3fe57fdfd024f5d556d0142dd1d1c70905b1f795,2026-03-31T21:59:14Z,feat,no,terminal;tasks;ui_ux,terminal;tasks,,3,43,4,feat: add task partials pagination and tiled terminal grid size selector
734,1e9747f8d44cfa3a5d25d0d4a4abbb969511846a,2026-03-31T21:59:21Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.9 [skip ci]
735,adaad4da6e8579e9f629630f5524208d045f5d04,2026-03-31T22:07:14Z,feat,no,drones;worker_state,drones,,1,90,20,feat: add allowed_tools enforcement in drone approval logic
736,2e7f3fb3c0701ab430260e8f8ed8198341aeb265,2026-03-31T22:07:23Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.10 [skip ci]
737,5b0fda6a46c4b8ab489255d8d983c9ad65e8a159,2026-03-31T23:24:47Z,feat,no,email;mobile_pwa;settings,email;mobile_pwa;settings,,1,118,16,"feat: add Notifications config tab with email SMTP, webhook URL, event filters"
738,7d8fe8d5bf44331c27d72b23156520184b6be36c,2026-03-31T23:24:56Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.11 [skip ci]
739,64b8804ddb46669272eac5752efaa2dc2d7879d4,2026-03-31T23:29:40Z,feat,no,mobile_pwa;settings;testing_quality,testing_quality,,2,75,0,feat: add test coverage for new features
740,68139bab399ba418116b411db36b628fb6ed6ed6,2026-03-31T23:29:47Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.3.31.12 [skip ci]
741,f01fce4a1b5996869a6e7950eef6e9449019e2e9,2026-04-01T02:09:40Z,feat,no,resources;settings,settings,,1,12,10,feat: consolidate config tabs from 14 to 8 with merged groups
742,ca794954d012e828d4e7bf1972e3b5a6331800e4,2026-04-01T02:09:49Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1 [skip ci]
743,1e9e97c03b39b27795fb857bc15e46d8865af034,2026-04-01T02:12:45Z,feat,no,ui_ux,,,2,69,9,feat: replace pipeline JSON textarea with visual step builder
744,69b91cafe546822af5321336c9958109f97ab8e1,2026-04-01T02:12:52Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.2 [skip ci]
745,7b1e51a0823c2db21c9936681e7be8a31831e7cc,2026-04-01T02:34:59Z,feat,no,terminal;tasks;ui_ux;testing_quality,testing_quality,,4,28,1,"feat: Tier 3 polish — step dependency tooltips, query perf monitoring, bulk reopen test"
746,ec49efaabbe96f07a620f351b17e75c257e2b303,2026-04-01T02:35:08Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.3 [skip ci]
747,240fa7048ae505bc9fac4b3a2d31c0f519119dd9,2026-04-01T13:56:07Z,feat,no,terminal;messaging;providers;deploy_release;testing_quality,,,8,459,5,"feat: hook-based tool approval, session lifecycle, and event forwarding"
748,8a2fb8b4cb8b0646d92bdf0fa8d5652906107a8a,2026-04-01T13:56:34Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.4 [skip ci]
749,2fe8c192b6f0efac9301eecfe4124eb21d65fa85,2026-04-01T15:30:56Z,feat,no,tasks;drones;workers;providers;ui_ux,drones;providers,,14,1058,5,feat: Phase 1 Claude Code intelligence — 6 drone improvements + local time + roadmap
750,458847d6ae6b0ba1bbca433369e392b00ae9f58b,2026-04-01T15:34:02Z,fix,no,terminal,,,4,13,0,fix: guard Swarm hooks with SWARM_MANAGED env var
751,e08beba697c1431f7d6244304d550a6645c39372,2026-04-01T15:34:22Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.5 [skip ci]
752,26b30aac04d7e31414c1bc906131c2cad74489a6,2026-04-01T15:47:08Z,fix,no,tasks;email;mobile_pwa;settings,email;mobile_pwa;settings,,2,21,5,fix: config page 500 — serialize email and webhook notification fields
753,afef9d11625c8e26024d6ec7c04c969f8ebbc153,2026-04-01T15:47:23Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.6 [skip ci]
754,111411a0cd79b8bd26deb42d05106d158d330fb3,2026-04-01T16:12:26Z,feat,no,drones;workers;providers;testing_quality,,,10,104,3,"feat: Phase 2 operational polish — log dedup, rate limits, tool tracking"
755,d46ec8c65acb8a549deb25fdb3860f7e7869d929,2026-04-01T16:12:45Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.7 [skip ci]
756,0437930e5d61974bd1ef4f8d6619b43623fa2d05,2026-04-01T16:18:55Z,fix,no,terminal;security_auth;messaging,terminal;security_auth,,1,2,0,fix: exempt /ws and /ws/terminal from session auth middleware
757,13e77977365bc87b9db50a060efa66ee590c0bb0,2026-04-01T16:19:06Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.8 [skip ci]
758,8b693339033efab838bf6edf6de5535c29257cd7,2026-04-01T16:43:22Z,feat,no,tasks;drones;workers;recovery;resources;settings;providers,recovery,,10,237,10,"feat: Phase 3 architecture — speculation, recovery, conflicts, layering, consolidation, cache"
759,46affa2921528ae160160e63b8720e2bd8e45904,2026-04-01T16:43:53Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.9 [skip ci]
760,4324e67a5bac01ba3aca307e8c5665c4d66b0524,2026-04-01T19:04:25Z,feat,no,terminal;drones;workers;messaging;providers;deploy_release;ui_ux,workers;providers,,16,1067,1,"feat: Phase 4 — MCP server, inter-worker messaging, operator communication"
761,a4e119ec234392c8657d995675f4e7ae2c3edfab,2026-04-01T19:04:38Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.10 [skip ci]
762,d44ee3e7d402d65add080f7a3b6d0f9b588e0ec2,2026-04-01T19:15:02Z,fix,no,tasks;drones;worker_state;workers;messaging,tasks;workers;messaging,,1,12,35,fix: disable speculation — injecting unrelated tasks into wrong workers
763,4539c5b1a4f8fe91dc16810132e7793af99cba73,2026-04-01T19:15:11Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.11 [skip ci]
764,6b4b061a2c468832841ac0cce2d0f596db0828a8,2026-04-01T19:21:53Z,fix,no,drones;resources;settings;providers,,,3,56,10,fix: re-enable speculation with 4 guardrails — disabled by default
765,112f972314c3e5aadfa91cc81a406b6b14410465,2026-04-01T19:22:03Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.12 [skip ci]
766,59774fd80b258cc0e2d123d8daca95a655f9c6d1,2026-04-01T19:28:51Z,fix,no,queen;security_auth;providers;ui_ux,queen,,1,1,0,fix: dismiss queen proposal toast when Jump button is clicked
767,162990eed7d3f540ad438b6ceec5e890c35974e3,2026-04-01T19:29:09Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.13 [skip ci]
768,74f6905ff6d63c6cdd21e98070fcf22310c9b72c,2026-04-01T19:47:48Z,fix,no,settings;providers;deploy_release,settings;providers,,2,22,5,fix: write MCP config to project-level .mcp.json instead of global settings
769,e5e04daa07353a1494bbcd153ae85b323f2acd2c,2026-04-01T19:48:03Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.14 [skip ci]
770,40c06a56500270f576960fd08bb8eaa7c01baf1d,2026-04-01T20:38:36Z,feat,no,providers;deploy_release,providers,,4,138,24,feat: MCP Streamable HTTP transport + connection fixes
771,3e352f38c5a8b659cc5bbf546117ae74a8e3d57d,2026-04-01T20:38:54Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.15 [skip ci]
772,2e4223abe471578e17a024fca6a0413b0c442b11,2026-04-01T20:52:15Z,feat,no,workers;providers,workers;providers,,2,37,2,feat: per-worker MCP identity + Streamable HTTP worker identification
773,48aec2877c9144b5a01e18d1f33de3f2c8323ee4,2026-04-01T20:52:37Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.16 [skip ci]
774,86c4da652b607a975d904c33a807e6f217955ae7,2026-04-01T22:10:58Z,feat,no,providers;ui_ux,providers;ui_ux,,1,13,1,feat: log MCP tool calls to buzz log for dashboard visibility
775,c26fb851282e8de6d359b1b8b09e778b46562e8e,2026-04-01T22:11:11Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.17 [skip ci]
776,e323a517791531fc53c6f61dd52b1fc971c3b6bc,2026-04-01T22:23:58Z,fix,no,tasks;workers;providers,tasks;workers;providers,,1,8,1,fix: MCP create_task now dispatches to worker via assign_task
777,e0bf58c2b2a5923c189ea01967b4a703da0b4e72,2026-04-01T22:24:05Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.18 [skip ci]
778,ce6825b70ad84119951a8e752ca079e626aa4f53,2026-04-01T22:38:25Z,fix,no,queen;worker_state;workers,queen;worker_state;workers,,1,9,0,fix: suppress queen proposals when worker is buzzing and no action needed
779,9791a7c70b08e276f9be8d4f3b7f164a02d92d8c,2026-04-01T22:38:32Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.19 [skip ci]
780,5ff06199da7e9c35e9911b7fa4de9594a915d259,2026-04-01T22:43:36Z,fix,no,tasks;workers;messaging;providers,tasks;providers,,1,4,3,fix: task dispatch prefers MCP swarm_complete_task over file-based completion
781,cb20b626b5a2301943ed4852afa76c3bf651c0be,2026-04-01T22:43:44Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.20 [skip ci]
782,c67fc5b317328a795515c89173be089df2cb9a7b,2026-04-01T23:29:49Z,feat,no,testing_quality,,,5,1238,0,"feat: unified SQLite storage — Phase 1 (DB core, schema, migration)"
783,316a3299f88ecb16a65b33da1763b1aa1a519b9c,2026-04-01T23:29:56Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.21 [skip ci]
784,48d0222f67b3a0d65cefcb2e0fbc367daa5b97bc,2026-04-01T23:40:10Z,feat,no,tasks;testing_quality,tasks,,6,642,7,"feat: unified SQLite storage — Phase 2 (tasks, history, proposals)"
785,76d0e0ebf677ecc5de154b0cd5eccf095b9b00c7,2026-04-01T23:40:18Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.1.22 [skip ci]
786,b320c6df90573e44c13ff1b33be53d7db1ad7ead,2026-04-02T02:11:57Z,feat,no,drones,,,3,262,11,feat: unified SQLite storage — Phase 3 (buzz log)
787,e0aea708b037098ad783deaa616e49e9048388c6,2026-04-02T02:12:07Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2 [skip ci]
788,11dcadb22ae52c4b270ba2b5d9155acc5dd9655a,2026-04-02T02:34:06Z,feat,no,resources;settings,settings,,5,593,23,feat: unified SQLite storage — Phase 4 (config replaces YAML)
789,c6bdbce10f2a379770cd8cd5bef7af0dfcf0e5f8,2026-04-02T02:34:13Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.2 [skip ci]
790,d14b114ac40d962099f55bbc71084d9494f6896c,2026-04-02T03:05:22Z,fix,no,recovery;settings,settings,,2,13,4,fix: CLI serve command no longer requires config.yaml to exist
791,75f5843ec31b226a2053f2f85db59711c9f50a62,2026-04-02T03:05:30Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.3 [skip ci]
792,2947159aec25db24638de0dcc98163845af3eca8,2026-04-02T03:18:37Z,feat,no,tasks;providers;deploy_release;testing_quality,testing_quality,,4,156,73,feat: unified SQLite storage — Phase 5 (consolidation & cleanup)
793,bb286c3db6fdd724571b28ef18c15c6e8d2b63c0,2026-04-02T03:18:44Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.4 [skip ci]
794,e9d2493948974eafac0b69f9cccdfc63f7e4770f,2026-04-02T03:28:06Z,fix,no,resources,,,2,25,0,fix: proposal approve/reject/dismiss now persists status to SQLite
795,8e8fa03c0ac7c35e326c762441d6975a761c9859,2026-04-02T03:28:15Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.5 [skip ci]
796,98258d2aac247708eb96ffbc5faa8d6591669f9c,2026-04-02T03:35:57Z,fix,no,queen;messaging;testing_quality,queen;messaging,,3,63,2,fix: point messages and queen sessions to swarm.db
797,25cd85b9895b2e64f5c7423cb841489a84529c1f,2026-04-02T03:36:07Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.6 [skip ci]
798,d94b94adc29c11293da713e88ac243db158a70c5,2026-04-02T03:43:23Z,feat,no,deploy_release,deploy_release,,3,77,1,feat: pipelines to swarm.db + upgrade migration logging
799,776114331892ef1313c66266a999a6a1109a2f93,2026-04-02T03:43:31Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.7 [skip ci]
800,3cd427f7d764e31d2887e521a490fc63e2e277d6,2026-04-02T03:46:31Z,fix,no,recovery;settings;deploy_release,recovery;settings;deploy_release,,2,16,4,fix: smooth upgrade path for config page update + restart
801,6e01264c963ecd5d7fd4cb5d174e838a04459fca,2026-04-02T03:46:38Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.8 [skip ci]
802,eb2302238797e5edbc0c1292d3d01021e79406bf,2026-04-02T03:51:28Z,fix,no,messaging,messaging,,2,15,4,fix: MessageStore shares SwarmDB connection instead of opening duplicate
803,097ad9c51e390d0590254f52a1e301865e92b6a5,2026-04-02T03:51:35Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.9 [skip ci]
804,5c69835e04b416b8571af84dc29f0112ea5f46cd,2026-04-02T04:15:40Z,fix,no,tasks;drones;jira;security_auth;messaging;testing_quality,tasks;drones;security_auth,,8,161,84,"fix: complete DB migration — auth secrets, CLI tasks, mtime watcher"
805,651840219004ec25aa02edf229f2d21a07599f41,2026-04-02T04:15:50Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.10 [skip ci]
806,1a6f8b5d032f4944798e1839ea99871ba669a87b,2026-04-02T04:26:39Z,fix,no,drones;recovery,recovery,,1,7,0,fix: close swarm_db on normal shutdown (not just restart)
807,1bc74e5cde3584f3b666613e0ff59393fb11cb97,2026-04-02T04:26:46Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.11 [skip ci]
808,3bf1a59fd22a3807e6147ebb44e3ca9e063c172b,2026-04-02T04:31:24Z,fix,no,tasks;jira;security_auth,tasks,,3,15,2,fix: cancel DB maintenance task on shutdown + clear secrets on disconnect
809,b2092309e5973a3e56529cb9afa59632e3738a81,2026-04-02T04:31:31Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.12 [skip ci]
810,2fa1aaed632ae735937f60d7ad59e75fbc8a8445,2026-04-02T12:52:06Z,feat,no,terminal;tasks;worker_state;workers,tasks;worker_state,,4,103,12,"feat: Phase 5 polish — state machine, error classification, write queue"
811,ffb63ba32bd0ff0b420bc10a1db9e5633f0e9e74,2026-04-02T12:52:15Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.13 [skip ci]
812,36095a28d0774aad4a479e3d117c5a865391d070,2026-04-02T14:41:08Z,fix,no,drones;messaging;resources;settings;testing_quality,,,16,193,146,"fix: audit remediation — DB migration bug, N+1 queries, type safety"
813,a323be4a359a10fac45d251da2dae4b4a3e3abd1,2026-04-02T14:44:41Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.14 [skip ci]
814,8aa21e8fd5bf1b90041fbc31b341d017394ca4a8,2026-04-02T15:56:40Z,feat,no,tasks;security_auth;testing_quality,security_auth;testing_quality,#89,9,854,33,feat: WebAuthn tests + BaseStore DRY mixin
815,2da4b82631f71428e30dfdab8d85f4b3351bb8f1,2026-04-02T16:02:14Z,fix,no,,,,1,3,8,fix: change ALWAYS_ESCALATE from hard-block to passthrough in hooks
816,3162e8e659a77cd7ca731e43e1b8faa4cc2bcd2c,2026-04-02T16:03:59Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.15 [skip ci]
817,08fe49a50e40a4bff62c465593072f8dbce69998,2026-04-02T16:14:28Z,test,no,tasks;resources;settings;testing_quality,resources;settings;testing_quality,#90,3,1784,0,"test: config_store, pressure, and decision_executor coverage"
818,23c1a4e0b0bd030652f0b2c23d0158ad59feb6e2,2026-04-02T16:15:16Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.16 [skip ci]
819,0a0d23b4a9d93ad6db7a544ecb67a2331e5b0513,2026-04-02T16:39:07Z,refactor,no,workers;mobile_pwa;messaging;testing_quality,testing_quality,,5,445,162,refactor: extract StatePublisher from SwarmDaemon (Phase 1/3)
820,8f9a9a9db4856af18596f34014e50661ae88d092,2026-04-02T17:10:31Z,refactor,no,terminal;workers;testing_quality,testing_quality,,9,572,163,refactor: extract EscalationHandler + ProposalCoordinator from SwarmDaemon (Phases 2-3/3)
821,14d6a30f457e0a8f967970a9c13d4c83998a31ea,2026-04-02T18:04:59Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.17 [skip ci]
822,22dea759dbfba41b34dbf9ca7f690652a1c35628,2026-04-02T18:24:21Z,fix,no,tasks;messaging;recovery;deploy_release;ui_ux,tasks;recovery,,1,7,0,fix: refresh task/buzz panels on WS reconnect and tab focus
823,f89e3f8b57170b843b28e8bd0e5c9995ffb56f79,2026-04-02T18:24:31Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.18 [skip ci]
824,cedabc3d1de350ef5d6ba136c7cb2ee14a3a7833,2026-04-02T19:09:58Z,refactor,no,tasks;drones;testing_quality,tasks;drones;testing_quality,#87,2,419,284,refactor: extract PollDispatcher from DronePilot (#87)
825,800748171136672397e5556965a7fee61e17f8d6,2026-04-02T19:10:08Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.19 [skip ci]
826,f46354bcf58e664a5b97c2f822d3b592bd8cf613,2026-04-02T19:49:29Z,fix,no,workers;mobile_pwa;settings;ui_ux,settings;ui_ux,,6,64,32,fix(ui): address 16 UX audit findings across config and dashboard
827,68a86577ebb38faa70290f588fdd2c9460066382,2026-04-02T19:49:54Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.20 [skip ci]
828,11ee4e00357fab91d700698a19b705a5e5a0ae5f,2026-04-02T20:10:04Z,fix,no,mobile_pwa;settings;ui_ux,mobile_pwa;settings;ui_ux,,1,7,3,fix(ui): improve login page mobile layout and toggle link visibility
829,b0d70b74564803dd6ca69d2307d2bfa79ca599c6,2026-04-02T20:10:22Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.21 [skip ci]
830,e970ee1fa79e2593f3d8361f9459a68f18db0be4,2026-04-02T20:22:22Z,fix,no,terminal;mobile_pwa;ui_ux,terminal;mobile_pwa;ui_ux,,1,7,11,fix(ui): improve mobile terminal readability and action button layout
831,6fb74f9377deb5435808a1a8ae06430909aeb9d5,2026-04-02T20:22:38Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.22 [skip ci]
832,c7f43f9553fea6290f285a6a5103ee93baa2d94f,2026-04-02T21:14:29Z,feat,no,tasks;ui_ux,,,6,221,7,"feat: Tier 1 quick wins — filters, bulk ops, export, session timeout"
833,9bddafc0c030eab02c90fdd16e6db5378fa67dc0,2026-04-02T21:14:45Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.23 [skip ci]
834,3df28e7b3b9b6f5de79f952fb4259fc9014df9fd,2026-04-02T21:29:30Z,feat,no,jira;settings,settings,,1,45,0,feat: client-side config validation before save
835,bd24e110a624cdcde2ddfdfee0c292fcf3589f58,2026-04-02T21:29:38Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.24 [skip ci]
836,165f8f1d1f5dfc5b9403738197074545345323f2,2026-04-02T21:36:43Z,feat,no,terminal;tasks;workers;recovery,,,6,164,5,"feat: Tier 2 core features — diagnostics, backups, caching, history, logging"
837,4a269d6f2d9259a02b97aa6019a07f84ffbd5b86,2026-04-02T21:36:50Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.25 [skip ci]
838,c859d43880a7a1aa2a4a6eec4716d270ae0cf130,2026-04-02T21:50:53Z,feat,no,tasks;drones;workers;mobile_pwa;settings;ui_ux,mobile_pwa,,7,243,5,"feat: Tier 3 polish — command palette, notification presets, accessibility"
839,1208ce0e11de6db16658f985ecf8e9056b5abac0,2026-04-02T21:51:00Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.26 [skip ci]
840,a26783313e597afa8ea18587ab5bfee763b3ed92,2026-04-02T22:39:32Z,fix,no,tasks,tasks,,1,7,1,fix: SqliteTaskStore.save() now deletes removed tasks from DB
841,69ff181ffc0c1e463670aa4c37d967263a5831fd,2026-04-02T22:39:41Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.27 [skip ci]
842,e11d2662d6d4d0769b52ecb930dc4c429d162434,2026-04-02T22:47:18Z,fix,no,terminal;tasks;workers;messaging;ui_ux,terminal;workers,,2,57,28,fix: prevent terminal reset on agent spawn output bursts
843,68a0c0aa0a36141aa8af154e7b1cc00cb006622b,2026-04-02T22:47:28Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.28 [skip ci]
844,db4d21352eec4dd189568346b084551bc558717c,2026-04-02T22:51:23Z,fix,no,terminal;ui_ux,,,1,9,0,fix: remap Ctrl+L to clear input line instead of full screen clear
845,9969d282f970f8dd979831ffb0630e24f8de0973,2026-04-02T22:51:32Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.2.29 [skip ci]
846,de178f9cc0df7bad4cad7b1cf32e5488b55731de,2026-04-03T15:05:46Z,revert,no,terminal;tasks;ui_ux,terminal,,1,0,9,revert: let Ctrl+L pass through to PTY naturally
847,8da659353f91378d6d754e6a55924abf8c9e1fb4,2026-04-03T15:05:56Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.3 [skip ci]
848,41eb85d473cef61aad4f9e014c8e63f9cd759132,2026-04-03T18:46:39Z,fix,no,tasks;workers;ui_ux,tasks;ui_ux,,1,9,17,fix: show all task fields in create and edit modal consistently
849,df8a35c89b475e79f956993b5d538561aad6a86c,2026-04-03T18:46:49Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.3.2 [skip ci]
850,e00cb0f79a3f52f7cd46acc8077115e2c1bce9c0,2026-04-03T19:09:11Z,feat,no,terminal;tasks;drones;settings;providers;ui_ux;testing_quality,tasks,,14,200,121,feat: task queue (assign vs start) + sub-agent awareness
851,b04c14a5fb4adf2b8ad757b8997f6225dcff919f,2026-04-03T19:09:19Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.3.3 [skip ci]
852,0999cf9833535d96c2899b73cff7d44c1bd1af35,2026-04-05T01:40:02Z,fix,no,terminal;tasks;email;ui_ux;testing_quality,terminal;tasks;email;ui_ux,,6,125,24,"fix: task lifecycle UX — auto-start, email drafts, blank terminal, status edits"
853,20314ffbe6770060b53d9ff492c725e826ed7df6,2026-04-05T01:40:16Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.4.5 [skip ci]
